nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,data_source
ESP,DF,20,2005,3.4,0,1,0,0.0,0.29,0.0,0.0,,0,0,big5_club
ARG,FW,25,2000,21.1,8,54,26,48.1,2.56,1.23,0.11,0.23,2,3,big5_club
ESP,MF,33,1992,24.7,2,14,4,28.6,0.57,0.16,0.14,0.5,0,0,big5_club
ESP,DF,22,2003,15.3,1,11,4,36.4,0.72,0.26,0.09,0.25,0,0,big5_club
ESP,"DF,MF",30,1995,24.2,0,18,6,33.3,0.74,0.25,0.0,0.0,0,0,big5_club
ITA,DF,23,2002,19.7,0,5,2,40.0,0.25,0.1,0.0,0.0,0,0,big5_club
ESP,FW,17,2008,0.6,1,3,2,66.7,5.4,3.6,0.33,0.5,0,0,big5_club
ARG,"DF,MF",27,1998,14.8,2,14,4,28.6,0.95,0.27,0.14,0.5,0,0,big5_club
ARG,"MF,DF",27,1998,16.1,5,43,21,48.8,2.67,1.31,0.12,0.24,0,0,big5_club
MEX,MF,19,2005,8.2,0,5,0,0.0,0.61,0.0,0.0,,0,0,big5_club
ESP,MF,22,2003,18.5,1,23,6,26.1,1.25,0.33,0.04,0.17,0,0,big5_club
ESP,"MF,FW",20,2005,1.5,0,4,0,0.0,2.73,0.0,0.0,,0,0,big5_club
ESP,DF,28,1996,19.9,1,6,1,16.7,0.3,0.05,0.17,1.0,0,0,big5_club
ESP,MF,20,2005,4.8,0,6,2,33.3,1.24,0.41,0.0,0.0,0,0,big5_club
ESP,MF,17,2008,0.3,0,0,0,,0.0,0.0,,,0,0,big5_club
ARG,"MF,FW",24,2001,14.6,3,21,10,47.6,1.44,0.69,0.14,0.3,0,0,big5_club
ESP,DF,21,2003,20.8,0,10,1,10.0,0.48,0.05,0.0,0.0,0,0,big5_club
ESP,DF,20,2005,1.0,0,0,0,,0.0,0.0,,,0,0,big5_club
DEN,DF,29,1996,4.5,0,4,2,50.0,0.88,0.44,0.0,0.0,0,0,big5_club
ESP,MF,27,1998,23.0,7,70,21,30.0,3.05,0.91,0.1,0.33,0,0,big5_club
ESP,MF,17,2008,1.0,0,0,0,,0.0,0.0,,,0,0,big5_club
ESP,"DF,MF",24,2001,30.2,1,25,7,28.0,0.83,0.23,0.04,0.14,0,0,big5_club
ESP,MF,22,2003,20.0,6,68,25,36.8,3.41,1.25,0.09,0.24,0,0,big5_club
ESP,FW,25,2000,21.8,16,69,37,53.6,3.16,1.69,0.23,0.43,0,0,big5_club
NED,MF,28,1997,18.2,1,7,2,28.6,0.39,0.11,0.14,0.5,0,0,big5_club
ESP,MF,20,2004,6.4,0,0,0,,0.0,0.0,,,0,0,big5_club
ESP,DF,23,2002,23.5,0,7,4,57.1,0.3,0.17,0.0,0.0,0,0,big5_club
ESP,GK,24,2001,30.0,0,0,0,,0.0,0.0,,,0,0,big5_club
ESP,DF,18,2007,0.6,0,0,0,,0.0,0.0,,,0,0,big5_club
